symbol,tf,exit,filter,total_signals,is_n,oos_n,oos_mean,oos_wr,oos_total,expectancy_score
UK100,4h,B,no_filter,25,12,13,0.5384615384615384,0.7692307692307693,7.0,0.0
UK100,4h,B,VOL_HIGH,25,2,2,0.0,0.5,0.0,0.0
UK100,4h,B,VOL_NORMAL,25,10,6,0.6666666666666666,0.8333333333333334,4.0,0.0
UK100,4h,B,LEVEL_FRESH,25,4,10,0.4,0.7,4.0,0.0
UK100,4h,B,TREND_ALIGN,25,0,0,0.0,0.0,0.0,0.0
UK100,4h,B,TREND_AGAINST,25,12,13,0.5384615384615384,0.7692307692307693,7.0,0.0
UK100,4h,C,no_filter,25,12,13,-0.1786751920552512,0.3076923076923077,-2.3227774967182655,0.0
UK100,4h,C,VOL_HIGH,25,2,2,-0.10428500903569082,0.5,-0.20857001807138165,0.0
UK100,4h,C,VOL_NORMAL,25,10,6,0.08102520905249454,0.5,0.4861512543149672,0.0
UK100,4h,C,LEVEL_FRESH,25,4,10,-0.18592642190456027,0.3,-1.8592642190456028,0.0
UK100,4h,C,TREND_ALIGN,25,0,0,0.0,0.0,0.0,0.0
UK100,4h,C,TREND_AGAINST,25,12,13,-0.1786751920552512,0.3076923076923077,-2.3227774967182655,0.0
UK100,4h,D,no_filter,25,12,13,0.4560913648776811,0.7692307692307693,5.929187743409854,0.0
UK100,4h,D,VOL_HIGH,25,2,2,0.036076619413958455,0.5,0.07215323882791691,0.0
UK100,4h,D,VOL_NORMAL,25,10,6,0.6039386457442184,0.8333333333333334,3.6236318744653104,0.0
UK100,4h,D,LEVEL_FRESH,25,4,10,0.3060953930715485,0.7,3.0609539307154847,0.0
UK100,4h,D,TREND_ALIGN,25,0,0,0.0,0.0,0.0,0.0
UK100,4h,D,TREND_AGAINST,25,12,13,0.4560913648776811,0.7692307692307693,5.929187743409854,0.0
J225,15m,A,no_filter,6,3,3,0.23831171629258763,0.6666666666666666,0.7149351488777629,0.0
J225,15m,A,VOL_HIGH,6,1,0,0.0,0.0,0.0,0.0
J225,15m,A,VOL_NORMAL,6,0,1,-1.0,0.0,-1.0,0.0
J225,15m,A,LEVEL_FRESH,6,1,3,0.23831171629258763,0.6666666666666666,0.7149351488777629,0.0
J225,15m,A,TREND_ALIGN,6,1,0,0.0,0.0,0.0,0.0
J225,15m,A,TREND_AGAINST,6,2,3,0.23831171629258763,0.6666666666666666,0.7149351488777629,0.0
J225,15m,B,no_filter,6,3,3,0.3333333333333333,0.6666666666666666,1.0,0.0
J225,15m,B,VOL_HIGH,6,1,0,0.0,0.0,0.0,0.0
J225,15m,B,VOL_NORMAL,6,0,1,-1.0,0.0,-1.0,0.0
J225,15m,B,LEVEL_FRESH,6,1,3,0.3333333333333333,0.6666666666666666,1.0,0.0
